2026-02-19 00:55:43,642 | DEBUG: New Run: 
2026-02-19 00:55:47,039 | DEBUG: Key: ƚ
2026-02-19 00:55:47,040 | DEBUG: Selected: (0, 0)
2026-02-19 00:55:49,095 | DEBUG: Key: ƚ
2026-02-19 00:55:49,095 | DEBUG: Selected: (0, 0)
2026-02-19 00:55:50,071 | DEBUG: Key: ƚ
2026-02-19 00:55:50,071 | DEBUG: Selected: (0, 0)
2026-02-19 00:55:51,014 | DEBUG: Key: ƚ
2026-02-19 00:55:51,014 | DEBUG: Selected: (0, 0)
2026-02-19 00:55:54,214 | DEBUG: Key: ƚ
2026-02-19 00:55:54,214 | DEBUG: Selected: (0, 0)
2026-02-19 00:55:55,360 | DEBUG: Key: ƚ
2026-02-19 00:55:55,360 | DEBUG: Selected: (0, 0)
2026-02-19 00:55:57,447 | DEBUG: Key: ƚ
2026-02-19 00:55:57,447 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:00,059 | DEBUG: Key: ƚ
2026-02-19 00:56:00,059 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:02,958 | DEBUG: Key: ƚ
2026-02-19 00:56:02,959 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:05,654 | DEBUG: Key: ƚ
2026-02-19 00:56:05,654 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:06,799 | DEBUG: Key: ƚ
2026-02-19 00:56:06,800 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:14,146 | DEBUG: Key: ƚ
2026-02-19 00:56:14,147 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:32,695 | DEBUG: New Run: 
2026-02-19 00:56:44,985 | DEBUG: Key: ƚ
2026-02-19 00:56:44,986 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:46,669 | DEBUG: Key: ƚ
2026-02-19 00:56:46,669 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:48,318 | DEBUG: Key: ƚ
2026-02-19 00:56:48,318 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:52,386 | DEBUG: Key: ƚ
2026-02-19 00:56:52,387 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:54,550 | DEBUG: Key: ƚ
2026-02-19 00:56:54,550 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:55,338 | DEBUG: Key: ƚ
2026-02-19 00:56:55,338 | DEBUG: Selected: (0, 0)
2026-02-19 00:56:57,258 | DEBUG: Key: ƚ
2026-02-19 00:56:57,258 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:02,616 | DEBUG: Key: q
2026-02-19 00:57:02,617 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:06,968 | DEBUG: New Run: 
2026-02-19 00:57:08,457 | DEBUG: Key: h
2026-02-19 00:57:08,457 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:10,218 | DEBUG: Key: ƚ
2026-02-19 00:57:10,218 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:30,906 | DEBUG: Key: ƚ
2026-02-19 00:57:30,907 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:31,904 | DEBUG: Key: ƚ
2026-02-19 00:57:31,904 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:32,282 | DEBUG: Key: ƚ
2026-02-19 00:57:32,282 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:33,210 | DEBUG: Key: ƚ
2026-02-19 00:57:33,210 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:35,650 | DEBUG: Key: ƚ
2026-02-19 00:57:35,650 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:38,414 | DEBUG: Key: ƚ
2026-02-19 00:57:38,414 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:48,621 | DEBUG: Key: ƚ
2026-02-19 00:57:48,621 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:49,853 | DEBUG: Key: ƚ
2026-02-19 00:57:49,853 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:53,751 | DEBUG: Key: ƚ
2026-02-19 00:57:53,751 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:54,828 | DEBUG: Key: ƚ
2026-02-19 00:57:54,828 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:56,173 | DEBUG: Key: ƚ
2026-02-19 00:57:56,173 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:57,753 | DEBUG: Key: ƚ
2026-02-19 00:57:57,753 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:59,097 | DEBUG: Key: ƚ
2026-02-19 00:57:59,097 | DEBUG: Selected: (0, 0)
2026-02-19 00:57:59,569 | DEBUG: Key: ƚ
